"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
1939,11,0,0,8.47,0.890667837689756,105.4,12.9,0,1,1,0.6,0.0915424331072333,5.57597679167956,0.842653850773772,32.5804278350485,3.0041,42.0947009106091,1.84751954498443
1939,12,0,0,2.36,0.278714613274341,58,3.6,0,1,1,0.6,0.0796343321237798,5.55271386022809,0.840234320271367,32.5775646974984,3.0041,42.0542472101217,1.88797324547183
1940,1,0,0,-2.6,0.055013765558561,56.1,2.4,0,1,1,0.6,0.077473692349119,5.5481336148343,0.839735123535178,32.5769755893991,3.0041,42.0464180201177,1.89580243547584
1940,2,0,0,1.61,0.229811908733405,52.9,18.2,0,1,1,0.6,0.06906392125826,5.52904113369818,0.837602634386392,32.5744341606514,3.0041,42.0142418499943,1.92797860559925
1940,3,0,0,5.97,0.595357786022696,79.1,47.1,0,1,1,0.6,0.0512827058699038,5.47988458805845,0.831764212876406,32.5673223249859,3.0041,41.9343538317907,2.00786662380283
1940,4,0.0571,0,8.52,0.897161684497962,69.7,78.9,0,1,1,0.6,0.0664440960143697,5.43003508148806,0.822301599235487,32.5554934322332,3.0041,41.8783742089711,2.12094624662236
1940,5,0.0571,0,12.14,1.42125696671295,45.8,105.3,-33.175,0.576785283354737,1,0.6,0.0777992911351697,5.38707566636812,0.814348663092714,32.5452442291606,3.0041,41.8285678497566,2.22785260583689
1940,6,0.0571,0,15.66,2.01478700835641,35.4,120.3,-44.9444,0.2,1,0.6,0.0973009141571926,5.37801408406635,0.810778431488414,32.5405693966368,3.0041,41.8307628263488,2.28275762924474
1940,7,0.0571,0,14.77,1.85839674590368,82.2,124.7,-44.9444,0.2,1,0.6,0.114497693595823,5.37151569840249,0.807862404703465,32.5366565443761,3.0041,41.8346323410779,2.33598811451564
1940,8,0.0571,0,15.47,1.98108555009598,6,111.3,-44.9444,0.2,1,0.6,0.127618620667429,5.36308772083251,0.805091333918821,32.5328337741033,3.0041,41.8327314495221,2.39498900607146
1940,9,0.2854,0,12.62,1.49793258821641,29.7,62.9,-44.9444,0.2,1,0.6,0.278297862921586,5.45600837299348,0.803230702189871,32.530202245651,3.0041,42.0718391837559,2.44128127183758
1940,10,0,0,8.8,0.933931573097658,81.4,28.1,0,1,1,0.6,0.174465358429767,5.38010817895013,0.802746409336398,32.5278843154877,3.0041,41.889304262204,2.62381619338951
1940,11,0,0,6.39,0.640802953040597,189.3,6,0,1,1,0.6,0.126637000037119,5.32864208426125,0.799902548223167,32.5234268581188,3.0041,41.7827084906403,2.7304119649532
1940,12,0,0,3.03,0.32730150318638,46.2,3,0,1,1,0.6,0.107519687979512,5.30254511005989,0.79787692932452,32.520493421534,3.0041,41.7325351488979,2.78058530669561
1941,1,0,0,-0.03,0.142509347318336,74.8,4,0,1,0,1,0.0954799411740056,5.2836871668527,0.796217888463124,32.5181353322315,3.0041,41.6976203287214,2.81550012687215
1941,2,0,0,3.28,0.346623995567065,55.9,16.1,0,1,0,1,0.0715261313046382,5.23809865908878,0.791714644312716,32.5117188554208,3.0041,41.6171582901269,2.89596216546661
1941,3,0,0,4.5,0.450228189634225,88.3,43,0,1,0,1,0.0491497960820615,5.179470735445,0.785063219123827,32.5022554644391,3.0041,41.52003921509,2.99308124050354
1941,4,0,0,6.18,0.617863160403413,45.6,73.9,-9.825,1,0,1,0.029370381386062,5.10008036483344,0.775020289396682,32.4878052088264,3.0041,41.3963762444426,3.11674421115089
1941,5,0,0,8.42,0.884196039161518,58.6,104.3,-29.45,0.696037342125481,1,0.6,0.0215908583417004,5.0532156120251,0.768631783721953,32.4786088938962,3.0041,41.326147147985,3.18697330760856
1941,6,0,0,15.01,1.90019312955513,40.9,120.8,-44.9444,0.2,1,0.6,0.0178544126905386,5.024491305642,0.764593833451223,32.4727733256938,3.0041,41.2838128774776,3.22930757811597
1941,7,0,0,17.53,2.35457419403648,67.8,134.9,-44.9444,0.2,1,0.6,0.0141087231304338,4.98912474976695,0.759548644017134,32.4654029367778,3.0041,41.2322850536924,3.28083540190115
1941,8,0,0,14.5,1.81172378794139,105,102.9,-17.1194,1,1,0.6,0.00570265225124165,4.85536673612106,0.740435150847874,32.4359465961889,3.0041,41.0415511354091,3.47156932018442
1941,9,1.3266,0,13.95,1.71783692073746,25.5,65.7,-40.8944,0.329656600811144,1,0.6,0.787207900204832,5.35798629486328,0.734322966839555,32.4265009681074,3.0041,42.310118130015,3.52960232557849
1941,10,0,0,9.84,1.0763413372115,52.5,29.5,-10.5194,1,0,1,0.321032147847824,5.21573323544899,0.764336625968143,32.453166640725,3.0041,41.75836864999,4.08135180560357
1941,11,0,0,6.25,0.625461653586842,69.6,10.2,0,1,0,1,0.190627873723406,5.13481152372429,0.766103924601027,32.4517699581738,3.0041,41.5474132802225,4.29230717537099
1941,12,0,0,4.94,0.491365615062217,42.8,4.4,0,1,0,1,0.126577133917714,5.07212061843685,0.763380790209475,32.4459872388822,3.0041,41.4121657814463,4.42755467414727
1942,1,0,0,-0.21,0.1345076857852,71,7,0,1,0,1,0.113155404897168,5.05509328316489,0.762171461178461,32.4438998145212,3.0041,41.3784199637617,4.46130049183181
1942,2,0,0,-0.42,0.125551849711023,34.2,15.3,0,1,0,1,0.101914639681919,5.03925125082297,0.760912491365144,32.4417907118771,3.0041,41.3479690937471,4.49175136184644
1942,3,0,0,4.74,0.472420606182534,37.1,43.3,0,1,0,1,0.068748282785382,4.98008517621405,0.755395640899065,32.4326912211329,3.0041,41.2410203210314,4.59870013456211
1942,4,0,0,8.73,0.924675113646997,32.8,70.5,-20.075,0.996168362521648,1,0.6,0.0433751072833118,4.91174862154804,0.747675733668752,32.420317546025,3.0041,41.1272170085251,4.71250344706846
1942,5,0,0,11.07,1.25595883379311,68.3,107.1,-32.1,0.611200307026831,1,0.6,0.0295494313272059,4.85551599266272,0.740553216961883,32.4090336428742,3.0041,41.038752283826,4.80096817176747
1942,6,0,0,14.56,1.82206314880776,11.3,121.8,-44.9444,0.2,1,0.6,0.0246273640470262,4.82904722992793,0.737005015329643,32.4034520548087,3.0041,40.9982316641133,4.84148879148021
1942,7,0,0,15.69,2.02012331718039,70.3,132.7,-44.9444,0.2,1,0.6,0.0201226461030842,4.79986991915202,0.733004583338535,32.3971254690618,3.0041,40.9542226176555,4.88549783793807
1942,8,1.1377,0,16.54,2.1729445554989,39.1,114.2,-44.9444,0.2,1,0.6,0.687622060417895,5.23495262178073,0.728643788450141,32.3901824027127,3.0041,42.0455008733614,4.9319195822321
1942,9,0,0,13.84,1.6992575589758,27.7,67.2,-44.9444,0.2,0,1,0.518028242536964,5.19066337124791,0.740189470752074,32.4012346345177,3.0041,41.8542157190546,5.12320473653889
1942,10,0,0,10.53,1.17567220836429,60.9,34.1,-9.6194,1,0,1,0.194474864382696,5.04032064952422,0.753318574896037,32.4076284410485,3.0041,41.3998425298514,5.57757792574209
1942,11,0,0,4.63,0.46217559960451,54.7,7.2,0,1,0,1,0.13231118228559,4.9824179782717,0.751115230015888,32.4022842347033,3.0041,41.2722286252765,5.70519183031704
1942,12,0,0,6.46,0.648545504817082,66.3,3.5,0,1,0,1,0.0770690676590622,4.90228622770679,0.744838987081891,32.3908089441552,3.0041,41.119103226603,5.85831722899054
1943,1,0,0,4.68,0.46681702138284,104.9,7.8,0,1,0,1,0.0522316074268287,4.84540700925104,0.738776648945549,32.3806649275618,3.0041,41.0211801931852,5.95624026240831
1943,2,0,0,5.39,0.535482697524936,27.5,19.5,0,1,0,1,0.0334299510652668,4.78097346920353,0.730945919086949,32.3677560879805,3.0041,40.9172054273363,6.06021502825722
1943,3,0,0,5.95,0.593237192520753,27.8,43.4,-4.75,1,0,1,0.0203908834148053,4.710590400516,0.721632840859157,32.3523814622952,3.0041,40.8090955870851,6.16832486850837
1943,4,0,0,10.76,1.20960125873906,37.4,82.5,-24.9890864,0.838848920863309,0,1,0.00875414513048176,4.59260055264508,0.705234727973362,32.324446994529,3.0041,40.635136420278,6.34228403531553
